   NUMBER,NAME,LAT,LON,TIME,WIND,PR,STAT,YEAR,TIMESTAMP 
1,NOT NAMED,28,-94.8,06/25/00Z,80,0,HURRICANE-1,1851,
1,NOT NAMED,28,-95.4,06/25/06Z,80,0,HURRICANE-1,1851,
1,NOT NAMED,28,-96,06/25/12Z,80,0,HURRICANE-1,1851,
1,NOT NAMED,28.1,-96.5,06/25/18Z,80,0,HURRICANE-1,1851,
1,NOT NAMED,28.2,-97,06/26/00Z,70,0,HURRICANE-1,1851,
1,NOT NAMED,28.3,-97.6,06/26/06Z,60,0,TROPICAL STORM,1851,
1,NOT NAMED,28.4,-98.3,06/26/12Z,60,0,TROPICAL STORM,1851,
1,NOT NAMED,28.6,-98.9,06/26/18Z,50,0,TROPICAL STORM,1851,
1,NOT NAMED,29,-99.4,06/27/00Z,50,0,TROPICAL STORM,1851,
1,NOT NAMED,29.5,-99.8,06/27/06Z,40,0,TROPICAL STORM,1851,
1,NOT NAMED,30,-100,06/27/12Z,40,0,TROPICAL STORM,1851,
1,NOT NAMED,30.5,-100.1,06/27/18Z,40,0,TROPICAL STORM,1851,
1,NOT NAMED,31,-100.2,06/28/00Z,40,0,TROPICAL STORM,1851,
1,NOT NAMED,0,0,06/28/06Z,0,0,,1851,
1,NOT NAMED,0,0,06/28/12Z,0,0,,1851,
1,NOT NAMED,0,0,06/28/18Z,0,0,,1851,
2,NOT NAMED,0,0,07/05/00Z,0,0,,1851,
2,NOT NAMED,0,0,07/05/06Z,0,0,,1851,
2,NOT NAMED,22.2,-97.6,07/05/12Z,80,0,HURRICANE-1,1851,
2,NOT NAMED,0,0,07/05/18Z,0,0,,1851,
4,NOT NAMED,13.4,-48,08/16/00Z,40,0,TROPICAL STORM,1851,
4,NOT NAMED,13.7,-49.5,08/16/06Z,40,0,TROPICAL STORM,1851,
4,NOT NAMED,14,-51,08/16/12Z,50,0,TROPICAL STORM,1851,
4,NOT NAMED,14.4,-52.8,08/16/18Z,50,0,TROPICAL STORM,1851,
4,NOT NAMED,14.9,-54.6,08/17/00Z,60,0,TROPICAL STORM,1851,
4,NOT NAMED,15.4,-56.5,08/17/06Z,60,0,TROPICAL STORM,1851,
4,NOT NAMED,15.9,-58.5,08/17/12Z,70,0,HURRICANE-1,1851,
4,NOT NAMED,16.1,-60.4,08/17/18Z,70,0,HURRICANE-1,1851,
4,NOT NAMED,16.6,-62.5,08/18/00Z,80,0,HURRICANE-1,1851,
4,NOT NAMED,16.9,-64.1,08/18/06Z,80,0,HURRICANE-1,1851,
4,NOT NAMED,17.2,-66,08/18/12Z,90,0,HURRICANE-2,1851,
4,NOT NAMED,17.6,-67.6,08/18/18Z,90,0,HURRICANE-2,1851,
4,NOT NAMED,18,-69.3,08/19/00Z,90,0,HURRICANE-2,1851,
4,NOT NAMED,18.4,-71.1,08/19/06Z,70,0,HURRICANE-1,1851,
4,NOT NAMED,18.9,-72.6,08/19/12Z,60,0,TROPICAL STORM,1851,
4,NOT NAMED,19.4,-74.3,08/19/18Z,60,0,TROPICAL STORM,1851,
4,NOT NAMED,19.9,-75.9,08/20/00Z,70,0,HURRICANE-1,1851,
4,NOT NAMED,20.5,-77.6,08/20/06Z,70,0,HURRICANE-1,1851,
4,NOT NAMED,21.2,-79,08/20/12Z,70,0,HURRICANE-1,1851,
4,NOT NAMED,21.9,-80.4,08/20/18Z,70,0,HURRICANE-1,1851,
4,NOT NAMED,22.6,-81.4,08/21/00Z,60,0,TROPICAL STORM,1851,
4,NOT NAMED,23.2,-82.5,08/21/06Z,60,0,TROPICAL STORM,1851,
4,NOT NAMED,23.9,-83.6,08/21/12Z,70,0,HURRICANE-1,1851,
4,NOT NAMED,24.4,-84.3,08/21/18Z,70,0,HURRICANE-1,1851,
4,NOT NAMED,25,-84.9,08/22/00Z,80,0,HURRICANE-1,1851,
4,NOT NAMED,25.6,-85.5,08/22/06Z,80,0,HURRICANE-1,1851,
4,NOT NAMED,26.2,-86,08/22/12Z,90,0,HURRICANE-2,1851,
4,NOT NAMED,26.8,-86.3,08/22/18Z,90,0,HURRICANE-2,1851,
4,NOT NAMED,27.4,-86.5,08/23/00Z,100,0,HURRICANE-3,1851,
4,NOT NAMED,28,-86.6,08/23/06Z,100,0,HURRICANE-3,1851,
4,NOT NAMED,28.5,-86.6,08/23/12Z,100,0,HURRICANE-3,1851,
4,NOT NAMED,29.6,-86.1,08/23/18Z,100,0,HURRICANE-3,1851,
4,NOT NAMED,30.7,-85.1,08/24/00Z,90,0,HURRICANE-2,1851,
4,NOT NAMED,31.6,-84.1,08/24/06Z,70,0,HURRICANE-1,1851,
4,NOT NAMED,32.5,-83,08/24/12Z,60,0,TROPICAL STORM,1851,
4,NOT NAMED,33.4,-81.4,08/24/18Z,50,0,TROPICAL STORM,1851,
4,NOT NAMED,34,-80,08/25/00Z,40,0,TROPICAL STORM,1851,
4,NOT NAMED,34.8,-78.6,08/25/06Z,40,0,TROPICAL STORM,1851,
4,NOT NAMED,35.8,-77,08/25/12Z,40,0,TROPICAL STORM,1851,
4,NOT NAMED,36.8,-75.1,08/25/18Z,40,0,TROPICAL STORM,1851,
4,NOT NAMED,37.8,-73.6,08/26/00Z,40,0,TROPICAL STORM,1851,
4,NOT NAMED,38.9,-71.8,08/26/06Z,40,0,TROPICAL STORM,1851,
4,NOT NAMED,40,-70,08/26/12Z,40,0,TROPICAL STORM,1851,
4,NOT NAMED,41.3,-66.8,08/26/18Z,40,0,TROPICAL STORM,1851,
4,NOT NAMED,42.8,-63.3,08/27/00Z,40,0,TROPICAL STORM,1851,
4,NOT NAMED,44.5,-60.2,08/27/06Z,40,0,TROPICAL STORM,1851,
4,NOT NAMED,46.4,-57.2,08/27/12Z,40,0,TROPICAL STORM,1851,
4,NOT NAMED,48.5,-54.2,08/27/18Z,40,0,TROPICAL STORM,1851,
7,NOT NAMED,20.5,-67.1,08/19/00Z,60,0,TROPICAL STORM,1852,
7,NOT NAMED,20.7,-68,08/19/06Z,60,0,TROPICAL STORM,1852,
7,NOT NAMED,20.9,-68.8,08/19/12Z,60,0,TROPICAL STORM,1852,
7,NOT NAMED,21.1,-69.6,08/19/18Z,60,0,TROPICAL STORM,1852,
7,NOT NAMED,21.2,-70.6,08/20/00Z,70,0,HURRICANE-1,1852,
7,NOT NAMED,21.5,-71.9,08/20/06Z,70,0,HURRICANE-1,1852,
7,NOT NAMED,21.7,-73,08/20/12Z,70,0,HURRICANE-1,1852,
7,NOT NAMED,21.9,-74,08/20/18Z,70,0,HURRICANE-1,1852,
7,NOT NAMED,22.1,-74.9,08/21/00Z,80,0,HURRICANE-1,1852,
7,NOT NAMED,22.2,-76.1,08/21/06Z,80,0,HURRICANE-1,1852,
7,NOT NAMED,22.6,-77.1,08/21/12Z,80,0,HURRICANE-1,1852,
7,NOT NAMED,22.9,-78.1,08/21/18Z,80,0,HURRICANE-1,1852,
7,NOT NAMED,23.2,-79.3,08/22/00Z,90,0,HURRICANE-2,1852,
7,NOT NAMED,23.5,-80.1,08/22/06Z,90,0,HURRICANE-2,1852,
7,NOT NAMED,23.8,-81.1,08/22/12Z,90,0,HURRICANE-2,1852,
7,NOT NAMED,24.2,-82.1,08/22/18Z,90,0,HURRICANE-2,1852,
7,NOT NAMED,24.7,-83.1,08/23/00Z,90,0,HURRICANE-2,1852,
7,NOT NAMED,25.2,-83.9,08/23/06Z,90,0,HURRICANE-2,1852,
7,NOT NAMED,25.7,-84.6,08/23/12Z,90,0,HURRICANE-2,1852,
7,NOT NAMED,26.2,-85.3,08/23/18Z,90,0,HURRICANE-2,1852,
7,NOT NAMED,26.7,-86,08/24/00Z,100,0,HURRICANE-3,1852,
7,NOT NAMED,27.2,-86.6,08/24/06Z,100,0,HURRICANE-3,1852,
7,NOT NAMED,27.7,-87.1,08/24/12Z,100,0,HURRICANE-3,1852,
7,NOT NAMED,28.2,-87.5,08/24/18Z,100,0,HURRICANE-3,1852,
7,NOT NAMED,28.6,-87.8,08/25/00Z,100,0,HURRICANE-3,1852,
7,NOT NAMED,28.8,-88,08/25/06Z,100,0,HURRICANE-3,1852,
7,NOT NAMED,29.1,-88.2,08/25/12Z,100,0,HURRICANE-3,1852,
7,NOT NAMED,29.4,-88.4,08/25/18Z,100,0,HURRICANE-3,1852,
7,NOT NAMED,29.8,-88.6,08/26/00Z,100,0,HURRICANE-3,1852,
7,NOT NAMED,30.2,-88.6,08/26/06Z,100,961,HURRICANE-3,1852,
7,NOT NAMED,30.6,-88.5,08/26/12Z,90,0,HURRICANE-2,1852,
7,NOT NAMED,31.2,-88.1,08/26/18Z,70,0,HURRICANE-1,1852,
7,NOT NAMED,31.8,-87.4,08/27/00Z,50,0,TROPICAL STORM,1852,
7,NOT NAMED,32.3,-86.3,08/27/06Z,40,0,TROPICAL STORM,1852,
7,NOT NAMED,32.8,-84.8,08/27/12Z,40,0,TROPICAL STORM,1852,
7,NOT NAMED,33.2,-82.8,08/27/18Z,40,0,TROPICAL STORM,1852,
7,NOT NAMED,33.5,-80.5,08/28/00Z,40,0,TROPICAL STORM,1852,
7,NOT NAMED,33.8,-78.2,08/28/06Z,40,0,TROPICAL STORM,1852,
7,NOT NAMED,34,-76,08/28/12Z,40,0,TROPICAL STORM,1852,
7,NOT NAMED,34.4,-74.2,08/28/18Z,40,0,TROPICAL STORM,1852,
7,NOT NAMED,35.2,-72.8,08/29/00Z,50,0,TROPICAL STORM,1852,
7,NOT NAMED,36.4,-71.8,08/29/06Z,50,0,TROPICAL STORM,1852,
7,NOT NAMED,38,-70.8,08/29/12Z,50,0,TROPICAL STORM,1852,
7,NOT NAMED,39.6,-69.6,08/29/18Z,50,0,TROPICAL STORM,1852,
7,NOT NAMED,41,-68,08/30/00Z,50,0,TROPICAL STORM,1852,
7,NOT NAMED,0,0,08/30/06Z,0,0,,1852,
7,NOT NAMED,0,0,08/30/12Z,0,0,,1852,
7,NOT NAMED,0,0,08/30/18Z,0,0,,1852,
8,NOT NAMED,17,-64.1,09/05/00Z,70,0,HURRICANE-1,1852,
8,NOT NAMED,17.4,-65.1,09/05/06Z,70,0,HURRICANE-1,1852,
8,NOT NAMED,17.7,-66.1,09/05/12Z,70,0,HURRICANE-1,1852,
8,NOT NAMED,18.2,-67.1,09/05/18Z,60,0,TROPICAL STORM,1852,
8,NOT NAMED,18.6,-68.8,09/06/00Z,60,0,TROPICAL STORM,1852,
8,NOT NAMED,19.2,-70.1,09/06/06Z,50,0,TROPICAL STORM,1852,
8,NOT NAMED,19.5,-71.4,09/06/12Z,40,0,TROPICAL STORM,1852,
